Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,11,27,10,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,3,11,17,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,5,13,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,27,11,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,12,17,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,1,26,16,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,9,28,3,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,6,10,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,11,20,5,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,14,3,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,15,11,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,24,23,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,10,21,7,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,10,27,4,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,11,20,4,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,3,25,18,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,16,8,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,14,10,1,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,25,3,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,2,2,13,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,4,24,7,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,7,24,18,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,7,14,16,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,7,9,14,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,4,4,14,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,11,18,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,8,4,21,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,7,16,10,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,11,2,6,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,4,3,14,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,12,18,21,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,2,16,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,7,5,16,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,10,29,17,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,1,12,7,3,False,,,0,,
