Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend
Machine Stop,Filler,Lubrication issues,Lubrication failure,8.0,Lubrication seaming rollers failure,17,Breakdown,True,False,False,False,False,2021,5,1,22,5,True
Machine Stop,Filler,In-feed scroll,Fault not listed,120.0,Filler infeed stopped feeding cans to filler. Craft found pulley and belt on the floor from the drive shaft. Shaft sent to dransfields.,17,Short Stop,False,False,True,False,False,2021,5,3,0,0,False
Machine Stop,Filler,Scroll,Fault not listed,300.0,Bearings replaced on the drive shaft on infeed scroll. Gears replaced in the scroll gearbox,17,Breakdown,False,True,False,False,False,2021,5,3,14,0,False
Machine Stop,Filler,Bubble breaker,Fault not listed,6.0,bubble breakers not set at the correct heigh casuing crash on infeed of seamer,17,Short Stop,False,False,True,False,False,2021,5,3,19,0,False
Machine Stop,Filler,In-feed scroll,Cans jammed,5.0,damaged can jammed in infeed scroll,17,Short Stop,False,False,True,False,False,2021,5,4,0,1,False
Machine Stop,Filler,Scroll,Fault not listed,6.0,can ajmmed on infeed scroll preventing cans going ninto the filler,17,Short Stop,False,True,False,False,False,2021,5,5,3,2,False
Machine Stop,Filler,Bowl level,Fault not listed,55.0,"Valve fault at filler ,Valve V6235 co2 Blow down not registering correctly ,saying its close when its physically open",17,Short Stop,False,False,False,False,True,2021,5,5,10,2,False
Machine Stop,Filler,In-feed scroll,Cans jammed,30.0,damaged cans jammed in infeed scroll causeing seamer crash had clear out debris,17,Short Stop,False,False,False,False,True,2021,5,5,12,2,False
Machine Stop,Filler,In-feed scroll,Cans jammed,8.0,MB Damaged cans trapped on infeed scroll.,17,Short Stop,False,False,False,False,True,2021,5,5,17,2,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11.0,fibre washer changed head 149,17,Short Stop,False,True,False,False,False,2021,5,5,23,2,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11.0,ribre washer changed head 72,17,Breakdown,False,True,False,False,False,2021,5,6,5,3,False
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20.0,Head 48 intermitantly not filling found V/V sliding arms sticking and slight burrs cleaned & monitoring Sam Garnett attended,17,Short Stop,True,False,False,False,False,2021,5,7,11,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20.0,heads 22 and 25 purge valves sticking,17,Short Stop,False,False,False,False,True,2021,5,7,20,4,False
