,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Original Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend,cleaned_comments,uncorrectable_words,lemmatized,Cluster
0,Machine Stop,Filler,Lubrication issues,Lubrication failure,8,Lubrication seaming rollers failure,17,Breakdown,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,1,22,5,TRUE,lubrication seaming rollers failure,{},lubrication seaming roller failure,0
1,Machine Stop,Filler,In-feed scroll,Fault not listed,120,Filler infeed stopped feeding cans to filler. Craft found pulley and belt on the floor from the drive shaft. Shaft sent to dransfields.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,3,0,0,FALSE,filler infeed stopped feeding cans to filler craft found pulley and belt on the floor from the drive shaft shaft sent to dransfields,{},filler infeed stop feed can filler craft find pulley belt floor drive shaft shaft send dransfield,3
2,Machine Stop,Filler,Scroll,Fault not listed,300,Bearings replaced on the drive shaft on infeed scroll. Gears replaced in the scroll gearbox,17,Breakdown,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,3,14,0,FALSE,bearings replaced on the drive shaft on infeed scroll gears replaced in the scroll gearbox,{},bearing replace drive shaft infeed scroll gear replace scroll gearbox,3
3,Machine Stop,Filler,Bubble breaker,Fault not listed,6,bubble breakers not set at the correct heigh casuing crash on infeed of seamer,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,3,19,0,FALSE,bubble breakers not set at the correct heigh casuing crash on infeed of seamer,{},bubble breaker set correct high cause crash infeed steamer,3
4,Machine Stop,Filler,In-feed scroll,Cans jammed,5,damaged can jammed in infeed scroll,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,4,0,1,FALSE,damaged can jammed in infeed scroll,{},damage jam infeed scroll,4
5,Machine Stop,Filler,Scroll,Fault not listed,6,can ajmmed on infeed scroll preventing cans going ninto the filler,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,5,3,2,FALSE,can ajmmed on infeed scroll preventing cans going ninto the filler,{},jammed infeed scroll prevent can go filler,1
6,Machine Stop,Filler,Bowl level,Fault not listed,55,"Valve fault at filler ,Valve V6235 co2 Blow down not registering correctly ,saying its close when its physically open",17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,5,10,2,FALSE,valve fault at filler valve blow down not registering correctly saying its close when its physically open,{},valve fault filler valve blow register correctly say close physically open,3
7,Machine Stop,Filler,In-feed scroll,Cans jammed,30,damaged cans jammed in infeed scroll causeing seamer crash had clear out debris,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,5,12,2,FALSE,damaged cans jammed in infeed scroll causeing seamer crash had clear out debris,{},damage can jam infeed scroll causeing steamer crash clear debris,3
8,Machine Stop,Filler,In-feed scroll,Cans jammed,8,MB Damaged cans trapped on infeed scroll.,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,5,17,2,FALSE,mb damaged cans trapped on infeed scroll,{},mb damage can trap infeed scroll,4
9,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11,fibre washer changed head 149,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,5,23,2,FALSE,fibre washer changed head ,{},fibre washer change head,0
10,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11,ribre washer changed head 72,17,Breakdown,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,6,5,3,FALSE,ribre washer changed head ,{},fire washer change head,2
