,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Comments_cleaned,corrected_text,uncorrectable_words,lemmatized
0,Machine Stop,Filler,Lubrication issues,Lubrication failure,8.0,Lubrication seaming rollers failure,17,Breakdown,True,False,False,False,False,2021,5,1,22,5,True,lubrication seaming rollers failure,lubrication seaming rollers failure,{},lubrication seaming roller failure
1,Machine Stop,Filler,In-feed scroll,Fault not listed,120.0,Filler infeed stopped feeding cans to filler. Craft found pulley and belt on the floor from the drive shaft. Shaft sent to dransfields.,17,Short Stop,False,False,True,False,False,2021,5,3,0,0,False,filler infeed stopped feeding cans filler craft found pulley belt floor drive shaft shaft sent dransfields,filler infeed stopped feeding cans filler craft found pulley belt floor drive shaft shaft sent dransfields,{},filler infeed stop feed can filler craft find pulley belt floor drive shaft shaft send dransfield
2,Machine Stop,Filler,Scroll,Fault not listed,300.0,Bearings replaced on the drive shaft on infeed scroll. Gears replaced in the scroll gearbox,17,Breakdown,False,True,False,False,False,2021,5,3,14,0,False,bearings replaced drive shaft infeed scroll gears replaced scroll gearbox,bearings replaced drive shaft infeed scroll gears replaced scroll gearbox,{},bearing replace drive shaft infeed scroll gear replace scroll gearbox
3,Machine Stop,Filler,Bubble breaker,Fault not listed,6.0,bubble breakers not set at the correct heigh casuing crash on infeed of seamer,17,Short Stop,False,False,True,False,False,2021,5,3,19,0,False,bubble breakers set correct heigh casuing crash infeed seamer,bubble breakers set correct high causing crash infeed steamer,{},bubble breaker set correct high cause crash infeed steamer
4,Machine Stop,Filler,In-feed scroll,Cans jammed,5.0,damaged can jammed in infeed scroll,17,Short Stop,False,False,True,False,False,2021,5,4,0,1,False,damaged jammed infeed scroll,damaged jammed infeed scroll,{},damage jammed infeed scroll
5,Machine Stop,Filler,Scroll,Fault not listed,6.0,can ajmmed on infeed scroll preventing cans going ninto the filler,17,Short Stop,False,True,False,False,False,2021,5,5,3,2,False,ajmmed infeed scroll preventing cans going ninto filler,jammed infeed scroll preventing cans going into filler,{},jammed infeed scroll prevent can go filler
6,Machine Stop,Filler,Bowl level,Fault not listed,55.0,"Valve fault at filler ,Valve V6235 co2 Blow down not registering correctly ,saying its close when its physically open",17,Short Stop,False,False,False,False,True,2021,5,5,10,2,False,valve fault filler valve v co blow registering correctly saying close physically open,valve fault filler valve v co blow registering correctly saying close physically open,{},valve fault filler valve v co blow register correctly say close physically open
7,Machine Stop,Filler,In-feed scroll,Cans jammed,30.0,damaged cans jammed in infeed scroll causeing seamer crash had clear out debris,17,Short Stop,False,False,False,False,True,2021,5,5,12,2,False,damaged cans jammed infeed scroll causeing seamer crash clear debris,damaged cans jammed infeed scroll causeing steamer crash clear debris,{},damage can jam infeed scroll causeing steamer crash clear debris
8,Machine Stop,Filler,In-feed scroll,Cans jammed,8.0,MB Damaged cans trapped on infeed scroll.,17,Short Stop,False,False,False,False,True,2021,5,5,17,2,False,mb damaged cans trapped infeed scroll,mb damaged cans trapped infeed scroll,{},mb damage can trap infeed scroll
9,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11.0,fibre washer changed head 149,17,Short Stop,False,True,False,False,False,2021,5,5,23,2,False,fibre washer changed head,fibre washer changed head,{},fibre washer change head
10,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11.0,ribre washer changed head 72,17,Breakdown,False,True,False,False,False,2021,5,6,5,3,False,ribre washer changed head,fire washer changed head,{},fire washer change head
11,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20.0,Head 48 intermitantly not filling found V/V sliding arms sticking and slight burrs cleaned & monitoring Sam Garnett attended,17,Short Stop,True,False,False,False,False,2021,5,7,11,4,False,head intermitantly filling found v v sliding arms sticking slight burrs cleaned monitoring sam garnett attended,head intermittently filling found v v sliding arms sticking slight burrs cleaned monitoring sam garnet attended,{},head intermittently fill find v v slide arm stick slight burr clean monitor sam garnet attend
12,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20.0,heads 22 and 25 purge valves sticking,17,Short Stop,False,False,False,False,True,2021,5,7,20,4,False,heads purge valves sticking,heads purge valves sticking,{},head purge valve stick
13,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19.0,head no1 purge valve sticking,17,Short Stop,False,False,False,False,True,2021,5,7,21,4,False,head purge valve sticking,head purge valve sticking,{},head purge valve stick
