,Unnamed: 0_x,Incident,Machine,Area / Cause,Reason/Fault,Time (minutes),Original Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend,cleaned_comments,uncorrectable_words,lemmatized,Cluster,Unnamed: 0_y,Category
0,0,Machine Stop,Filler,Lubrication issues,Lubrication failure,8,Lubrication seaming rollers failure,17,Breakdown,True,False,False,False,False,2021,5,1,22,5,True,lubrication seaming rollers failure,{},lubrication seaming roller failure,0.0,41.0,lubrication issue potentially due to issue with centre bearing
1,1,Machine Stop,Filler,In-feed scroll,Fault not listed,120,Filler infeed stopped feeding cans to filler. Craft found pulley and belt on the floor from the drive shaft. Shaft sent to dransfields.,17,Short Stop,False,False,True,False,False,2021,5,3,0,0,False,filler infeed stopped feeding cans to filler craft found pulley and belt on the floor from the drive shaft shaft sent to dransfields,{},filler infeed stop feed can filler craft find pulley belt floor drive shaft shaft send dransfield,3.0,28.0,issue with pressure valve or co2 levels
2,2,Machine Stop,Filler,Scroll,Fault not listed,300,Bearings replaced on the drive shaft on infeed scroll. Gears replaced in the scroll gearbox,17,Breakdown,False,True,False,False,False,2021,5,3,14,0,False,bearings replaced on the drive shaft on infeed scroll gears replaced in the scroll gearbox,{},bearing replace drive shaft infeed scroll gear replace scroll gearbox,3.0,28.0,issue with pressure valve or co2 levels
3,3,Machine Stop,Filler,Bubble breaker,Fault not listed,6,bubble breakers not set at the correct heigh casuing crash on infeed of seamer,17,Short Stop,False,False,True,False,False,2021,5,3,19,0,False,bubble breakers not set at the correct heigh casuing crash on infeed of seamer,{},bubble breaker set correct high cause crash infeed steamer,3.0,28.0,issue with pressure valve or co2 levels
4,4,Machine Stop,Filler,In-feed scroll,Cans jammed,5,damaged can jammed in infeed scroll,17,Short Stop,False,False,True,False,False,2021,5,4,0,1,False,damaged can jammed in infeed scroll,{},damage jam infeed scroll,4.0,14.0,Damaged cans trapped on infeed scroll.
5,5,Machine Stop,Filler,Scroll,Fault not listed,6,can ajmmed on infeed scroll preventing cans going ninto the filler,17,Short Stop,False,True,False,False,False,2021,5,5,3,2,False,can ajmmed on infeed scroll preventing cans going ninto the filler,{},jammed infeed scroll prevent can go filler,1.0,26.0,"crash jamming at infeed scroll causing crash at infeed scroll or filler, possibly preventing cans going into the filler"
6,6,Machine Stop,Filler,Bowl level,Fault not listed,55,"Valve fault at filler ,Valve V6235 co2 Blow down not registering correctly ,saying its close when its physically open",17,Short Stop,False,False,False,False,True,2021,5,5,10,2,False,valve fault at filler valve blow down not registering correctly saying its close when its physically open,{},valve fault filler valve blow register correctly say close physically open,3.0,28.0,issue with pressure valve or co2 levels
7,7,Machine Stop,Filler,In-feed scroll,Cans jammed,30,damaged cans jammed in infeed scroll causeing seamer crash had clear out debris,17,Short Stop,False,False,False,False,True,2021,5,5,12,2,False,damaged cans jammed in infeed scroll causeing seamer crash had clear out debris,{},damage can jam infeed scroll causeing steamer crash clear debris,3.0,13.0," Can jammed in starwheel damaging cans coming into filler causing a filler crash.  Cleared cans, Removed jammed can and restarted."
8,8,Machine Stop,Filler,In-feed scroll,Cans jammed,8,MB Damaged cans trapped on infeed scroll.,17,Short Stop,False,False,False,False,True,2021,5,5,17,2,False,mb damaged cans trapped on infeed scroll,{},mb damage can trap infeed scroll,4.0,14.0,Damaged cans trapped on infeed scroll.
9,9,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11,fibre washer changed head 149,17,Short Stop,False,True,False,False,False,2021,5,5,23,2,False,fibre washer changed head ,{},fibre washer change head,0.0,67.0,fibre washer head changed 
