Index,Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,MachineStopType
755505,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,12.0,,17,Breakdown
755646,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,top frame snapped,17,Breakdown
755870,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,23.0,Pallet jammed in lift,17,Short Stop
756342,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,7.0,top frame dropped into lift. Entered to remove,17,Short Stop
756538,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,5.0,pallet stack tripped lightgaurd,17,Short Stop
756633,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,3.0,lightguard tripped,17,Short Stop
756838,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,8.0,sweep crashed cans,17,Short Stop
756918,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,8.0,lightguard tripped,17,Short Stop
756953,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,11.0,MB Light guard tripped and had to be re alligned.,17,Short Stop
757028,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,14.0,empty pallet jammed,17,Short Stop
757033,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Setup and adjustments,6.0,ops making slight adjustments to arm,17,Short Stop
757296,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,6.0,pallet jam,17,Short Stop
757360,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,21.0,Pallet smashed in lift damaging cans operator had to access de-pal remove damaged cans and perform reset.,17,Short Stop
757610,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,Trapped pallet,17,Short Stop
757645,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,6.0,Caused cans to gap to filler.,17,Short Stop
757644,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,4.0,Caused cans to gap.,17,Short Stop
757836,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,12.0,jammed pallet waiting to fill empty can conveyor up,17,Short Stop
758104,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,8.0,MB Twisted  pallet jammed on infeed chain.,17,Short Stop
758135,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,17.0,MB Full stack jammed in lift had to enter the machine to remove.,17,Short Stop
758150,Strongbow/Yellow,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,MB Broken top fram fell between two unbanded pallets and a layer card swept on to the mesh.,17,Short Stop
758169,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,7.0,jammed pallet on outfeed line emptied out,17,Short Stop
758181,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,15.0,sweep arm damaged full layer opertator removing debri,17,Short Stop
758183,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,17.0,sweep arm damaged full layer opertator removing debri,17,Short Stop
758212,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,21.0,Top frames fallen inside machine. Stopped to go inside and clear out.,17,Short Stop
758351,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,14.0,pallet jammed whilst line 18 down,17,Breakdown
758388,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,5.0,,17,Short Stop
758809,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,20.0,Pallet woudlt come up after going in to clear a jam,17,Short Stop
758865,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,20.0,top frame fell in lift.,17,Short Stop
758890,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,38.0,,17,Short Stop
759284,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,11.0,pallets not stacked correctly out of sequence,17,Short Stop
759653,John Smiths/Pink,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,13.0,,17,Breakdown
759734,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Sensor failure,3.0,light barrier tripped operator solving,17,Short Stop
760186,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,11.0,Top frame smashed,17,Breakdown
760968,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,,17,Short Stop
760966,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,15.0,snapped top frame fell into machine. Operator had to manually remove,17,Short Stop
761389,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,5.0,layer card jam,17,Short Stop
